Date,GLD,SLV,SPY
2014-01-08,118.12,18.83,150.765
2014-01-15,119.66,19.4,151.711
2014-01-22,119.19,19.03,151.394
2014-01-29,122.47,19.02,145.72
2014-02-05,121.29,19.07,143.909
2014-02-12,124.43,19.43,149.566
2014-02-19,126.27,20.63,150.361
2014-02-26,128.11,20.42,151.861
2014-03-05,128.89,20.36,154.247
2014-03-12,131.76,20.47,153.854
2014-03-19,128.09,19.79,153.339
2014-03-26,125.41,19.02,152.62
2014-04-02,124.32,19.19,155.834
2014-04-09,126.32,19.11,154.391
2014-04-16,125.54,18.88,153.586
2014-04-23,123.76,18.69,154.667
2014-04-30,124.22,18.46,155.406
2014-05-07,124.17,18.57,155.032
2014-05-14,125.81,19.0,155.98
2014-05-21,124.39,18.64,156.036
2014-05-28,121.2,18.28,157.923
2014-06-04,119.76,18.06,159.395
2014-06-11,121.41,18.46,160.811
2014-06-18,122.67,19.05,161.931
2014-06-25,126.99,20.19,162.172
2014-07-02,127.7,20.3,163.529
2014-07-09,127.84,20.27,163.426
2014-07-16,124.97,19.91,164.152
2014-07-23,125.62,20.08,164.699
2014-07-30,124.83,19.78,163.291
2014-08-06,125.67,19.23,159.244
2014-08-13,126.2,19.04,161.542
2014-08-20,124.22,18.72,164.899
2014-08-27,123.32,18.66,166.041
2014-09-03,122.15,18.43,166.25
2014-09-10,120.26,18.24,165.884
2014-09-17,117.54,17.77,166.421
2014-09-24,117.05,16.99,166.241
2014-10-01,116.77,16.48,161.874
2014-10-08,117.47,16.68,163.8
2014-10-15,118.99,16.71,155.298
2014-10-22,119.34,16.46,160.506
2014-10-29,116.41,16.38,164.995
2014-11-05,109.79,14.66,168.547
2014-11-12,111.5,15.03,169.906
2014-11-19,113.68,15.48,170.938
2014-11-26,115.16,15.87,172.929
2014-12-03,116.33,15.73,173.149
2014-12-10,117.96,16.37,169.205
2014-12-17,114.27,15.1,168.097
2014-12-24,112.77,15.09,174.059
2014-12-31,113.58,15.06,172.172
2015-01-07,116.43,15.85,169.435
2015-01-14,117.97,16.13,168.24
2015-01-21,124.23,17.37,170.125
2015-01-28,123.42,17.23,167.619
2015-02-04,121.58,16.63,170.909
2015-02-11,117.07,16.08,173.322
2015-02-18,116.34,15.75,176.022
2015-02-25,115.7,15.83,177.246
2015-03-04,115.11,15.49,176.107
2015-03-11,110.75,14.84,171.255
2015-03-18,112.37,15.36,176.29
2015-03-25,114.73,16.24,173.101
2015-04-01,115.6,16.23,173.044
2015-04-08,115.47,15.81,174.949
2015-04-15,115.43,15.63,177.037
2015-04-22,113.83,15.11,177.197
2015-04-29,115.51,15.81,177.139
2015-05-06,114.36,15.77,175.005
2015-05-13,116.55,16.35,176.701
2015-05-20,116.08,16.37,179.094
2015-05-27,113.89,15.96,178.939
2015-06-03,113.64,15.83,178.298
2015-06-10,113.78,15.32,177.455
2015-06-17,113.85,15.45,177.159
2015-06-24,112.59,15.19,177.954
2015-07-01,111.98,14.9,175.428
2015-07-08,111.09,14.46,172.89
2015-07-15,110.16,14.43,178.051
2015-07-22,104.8,14.14,178.71
2015-07-29,105.17,14.15,178.194
2015-08-05,103.93,13.95,177.582
2015-08-12,107.75,14.82,176.632
2015-08-19,108.55,14.57,176.135
2015-08-26,107.67,13.56,164.413
2015-09-02,108.62,14.02,165.177
2015-09-09,106.13,13.93,164.68
2015-09-16,107.31,14.22,169.215
2015-09-23,108.22,14.12,164.525
2015-09-30,106.86,13.87,162.831
2015-10-07,109.7,15.29,169.454
2015-10-14,113.81,15.42,169.34
2015-10-21,111.73,14.99,171.531
2015-10-28,110.78,15.26,177.553
2015-11-04,105.97,14.38,178.777
2015-11-11,103.83,13.64,176.549
2015-11-18,102.43,13.52,177.359
2015-11-25,102.46,13.52,177.867
2015-12-02,100.69,13.37,177.197
2015-12-09,102.64,13.49,174.48
2015-12-16,102.75,13.49,176.777
2015-12-23,102.31,13.62,176.144
2015-12-30,101.42,13.21,176.06
2016-01-06,104.67,13.36,169.971
2016-01-13,104.72,13.49,161.414
2016-01-20,105.37,13.48,158.687
2016-01-27,107.69,13.81,160.801
2016-02-03,109.25,13.95,163.529
2016-02-10,114.46,14.55,158.392
2016-02-17,115.48,14.54,164.861
2016-02-24,117.61,14.52,165.147
2016-03-02,118.68,14.25,170.135
2016-03-09,119.58,14.53,170.443
2016-03-16,120.59,14.87,173.848
2016-03-23,116.61,14.51,174.595
2016-03-30,117.1,14.49,177.018
2016-04-06,116.94,14.34,177.352
2016-04-13,118.77,15.44,178.728
2016-04-20,118.97,16.14,180.509
2016-04-27,119.01,16.38,179.898
2016-05-04,122.21,16.49,176.182
2016-05-11,122.12,16.56,177.417
2016-05-18,120.1,16.0,176.098
2016-05-25,116.98,15.5,179.829
2016-06-01,115.94,15.17,180.664
2016-06-08,120.58,16.21,182.48
2016-06-15,123.68,16.69,178.518
2016-06-22,120.91,16.42,179.753
2016-06-29,125.84,17.37,178.509
2016-07-06,130.23,19.1099,181.092
2016-07-13,128.32,19.39,185.629
2016-07-20,125.39,18.42,187.496
2016-07-27,128.03,19.37,187.02
2016-08-03,129.65,19.38,186.712
2016-08-10,128.56,19.16,188.005
2016-08-17,128.5,18.68,188.617
2016-08-24,126.34,17.62,188.186
2016-08-31,124.78,17.72,187.766
2016-09-07,128.27,18.78,189.142
2016-09-14,126.18,18.02,184.1
2016-09-21,127.27,18.85,187.354
2016-09-28,126.22,18.21,188.079
2016-10-05,120.78,16.85,187.188
2016-10-12,119.74,16.65,185.523
2016-10-19,121.11,16.79,186.005
2016-10-26,120.79,16.71,185.553
2016-11-02,123.64,17.56,182.088
2016-11-09,121.56,17.45,187.85
2016-11-16,116.77,16.09,189.104
2016-11-23,113.25,15.52,191.574
2016-11-30,111.75,15.66,191.307
2016-12-07,111.83,16.23,194.961
2016-12-14,108.83,15.93,196.079
2016-12-21,107.85,15.12,197.145
2016-12-28,108.86,15.2,195.959
2017-01-04,110.86,15.58,197.852
2017-01-11,113.5,15.87,198.292
2017-01-18,114.87,16.19,197.997
2017-01-25,114.32,16.1,200.454
2017-02-01,115.2,16.61,198.753
2017-02-08,118.19,16.84,200.169
2017-02-15,117.45,17.04,205.117
2017-02-22,117.91,17.11,206.333
2017-03-01,119.06,17.44,209.386
2017-03-08,115.06,16.32,206.563
2017-03-15,116.25,16.43,208.667
2017-03-22,118.83,16.62,205.472
2017-03-29,119.33,17.25,206.563
2017-04-05,119.62,17.32,205.912
2017-04-12,122.02,17.46,205.232
2017-04-19,121.73,17.18,204.723
2017-04-26,120.84,16.57,209.06
2017-05-03,117.98,15.59,209.137
2017-05-10,116.04,15.35,210.38
2017-05-17,119.79,16.0,206.802
2017-05-24,119.61,16.28,211.005
2017-05-31,120.62,16.39,211.769
2017-06-07,122.45,16.65,213.693
2017-06-14,119.82,15.95,214.209
2017-06-21,118.52,15.54,214.132
2017-06-28,118.9,15.92,214.602
2017-07-05,116.52,15.18,213.961
2017-07-12,116.03,15.05,215.031
2017-07-19,118.08,15.4,217.672
2017-07-26,119.88,15.75,218.057
2017-08-02,120.4,15.67,218.067
2017-08-09,121.31,15.98,217.885
2017-08-16,121.87,16.15,217.626
2017-08-23,122.67,16.15,215.511
2017-08-30,124.36,16.46,216.803
2017-09-06,126.81,16.87,217.588
2017-09-13,125.61,16.76,220.479
2017-09-20,123.62,16.19,221.456
2017-09-27,121.98,15.83,221.446
2017-10-04,121.17,15.69,224.192
2017-10-11,122.79,16.25,225.856
2017-10-18,121.67,16.06,226.479
2017-10-25,121.35,16.01,226.096
2017-11-01,121.11,16.18,228.068
2017-11-08,121.63,16.06,229.476
2017-11-15,121.41,16.03,227.1
2017-11-22,122.63,16.17,230.058
2017-11-29,122.04,15.64,232.652
2017-12-06,120.07,15.1,233.112
2017-12-13,119.17,15.15,236.234
2017-12-20,120.14,15.25,237.697
2017-12-27,122.23,15.73,237.966
2018-01-03,124.82,16.17,240.749
2018-01-10,125.03,16.02,244.032
2018-01-17,126.14,16.06,248.893
