,TGA,RRP,RESERVE_BALANCE,SP500
2003-01-01,5016.0,,10667.0,
2003-01-08,4829.0,,7859.0,
2003-01-15,5244.0,,9606.0,
2003-01-22,6133.0,,12337.0,
2003-01-29,7162.0,,7139.0,
2003-02-05,5392.0,,11650.0,
2003-02-12,4681.0,2.5,6254.0,
2003-02-19,5048.0,,12588.0,
2003-02-26,5249.0,,8084.0,
2003-03-05,4909.0,,13468.0,
2003-03-12,5196.0,,5511.0,
2003-03-19,4979.0,1.25,13478.0,
2003-03-26,5916.0,,6341.0,
2003-04-02,5654.0,,13314.0,
2003-04-09,6528.0,2.25,5725.0,
2003-04-16,6470.0,,13164.0,
2003-04-23,8927.0,,8290.0,
2003-04-30,8763.0,,15422.0,
2003-05-07,7113.0,,6756.0,
2003-05-14,7139.0,,12795.0,
2003-05-21,6899.0,,10464.0,
2003-05-28,5543.0,,15770.0,
2003-06-04,6487.0,1.25,11994.0,
2003-06-11,6515.0,,10099.0,
2003-06-18,7147.0,2.25,10204.0,
2003-06-25,7199.0,3.5,13382.0,
2003-07-02,6087.0,,12845.0,
2003-07-09,6218.0,,10082.0,
2003-07-16,6479.0,,11134.0,
2003-07-23,6067.0,,14210.0,
2003-07-30,6205.0,,10751.0,
2003-08-06,5639.0,,13477.0,
2003-08-13,5611.0,,8007.0,
2003-08-20,5644.0,,21955.0,
2003-08-27,5974.0,,12019.0,
2003-09-03,4843.0,,16316.0,
2003-09-10,4745.0,,8538.0,
2003-09-17,6084.0,,14516.0,
2003-09-24,7540.0,,9141.0,
2003-10-01,6922.0,,17128.0,
2003-10-08,5185.0,,7138.0,
2003-10-15,3745.0,,12588.0,
2003-10-22,5403.0,,10373.0,
2003-10-29,5125.0,,16292.0,
2003-11-05,5680.0,2.75,12259.0,
2003-11-12,4876.0,,9419.0,
2003-11-19,4651.0,,12226.0,
2003-11-26,5223.0,,12030.0,
2003-12-03,5437.0,,12668.0,
2003-12-10,4974.0,,10144.0,
2003-12-17,5622.0,1.75,9675.0,
2003-12-24,4701.0,,11893.0,
2003-12-31,5850.0,,10686.0,
2004-01-07,5319.0,2.5,9839.0,
2004-01-14,4886.0,2.25,7855.0,
2004-01-21,7374.0,,16761.0,
2004-01-28,5153.0,,9687.0,
2004-02-04,4901.0,,13274.0,
2004-02-11,5352.0,,7469.0,
2004-02-18,4984.0,,11844.0,
2004-02-25,5147.0,,9502.0,
2004-03-03,5618.0,,15018.0,
2004-03-10,5527.0,,9365.0,
2004-03-17,5737.0,,14588.0,
2004-03-24,5371.0,,9339.0,
2004-03-31,5246.0,,14803.0,
2004-04-07,5010.0,,9757.0,
2004-04-14,5158.0,,14601.0,
2004-04-21,6630.0,,14021.0,
2004-04-28,7444.0,,18223.0,
2004-05-05,6025.0,,13025.0,
2004-05-12,5435.0,,13493.0,
2004-05-19,5333.0,,14219.0,
2004-05-26,5212.0,,15726.0,
2004-06-02,4092.0,,15312.0,
2004-06-09,4698.0,,11799.0,
2004-06-16,6195.0,,12032.0,
2004-06-23,7034.0,,14372.0,
2004-06-30,5961.0,,14753.0,
2004-07-07,4541.0,,10724.0,
2004-07-14,4834.0,,11664.0,
2004-07-21,5509.0,,14245.0,
2004-07-28,4956.0,,12113.0,
2004-08-04,4701.0,,16333.0,
2004-08-11,5064.0,,11190.0,
2004-08-18,4456.0,,9619.0,
2004-08-25,4789.0,,10916.0,
2004-09-01,5297.0,,16991.0,
2004-09-08,4910.0,,10128.0,
2004-09-15,5261.0,,13700.0,
2004-09-22,6979.0,,13386.0,
2004-09-29,5118.0,,14990.0,
2004-10-06,5334.0,,10631.0,
2004-10-13,4682.0,,11175.0,
2004-10-20,5232.0,,12733.0,
2004-10-27,4948.0,,12863.0,
2004-11-03,5275.0,,12995.0,
2004-11-10,5012.0,,11377.0,
2004-11-17,4824.0,,12278.0,
2004-11-24,4419.0,,11686.0,
2004-12-01,5217.0,,11754.0,
2004-12-08,4986.0,,12606.0,
2004-12-15,5047.0,,12689.0,
2004-12-22,5133.0,,10747.0,
2004-12-29,4631.0,,9350.0,
2005-01-05,5650.0,,15515.0,
2005-01-12,5145.0,,7180.0,
2005-01-19,4781.0,,17473.0,
2005-01-26,5252.0,,12624.0,
2005-02-02,5070.0,,20963.0,
2005-02-09,4913.0,,7518.0,
2005-02-16,4924.0,,12913.0,
2005-02-23,5250.0,,11391.0,
2005-03-02,5199.0,,16224.0,
2005-03-09,4304.0,,8034.0,
2005-03-16,5118.0,,14101.0,
2005-03-23,4968.0,,13006.0,
2005-03-30,4592.0,,12615.0,
2005-04-06,5296.0,,12369.0,
2005-04-13,5175.0,,9731.0,
2005-04-20,5201.0,,15408.0,
2005-04-27,5586.0,,14570.0,
2005-05-04,4863.0,,12956.0,
2005-05-11,4993.0,,9499.0,
2005-05-18,5209.0,,11848.0,
2005-05-25,4936.0,,13263.0,
2005-06-01,4927.0,,12840.0,
2005-06-08,4778.0,,10552.0,
2005-06-15,5534.0,,10240.0,
2005-06-22,4982.0,,11521.0,
2005-06-29,4726.0,,10799.0,
2005-07-06,3840.0,,11413.0,
2005-07-13,4843.0,,7415.0,
2005-07-20,5423.0,,12934.0,
2005-07-27,4878.0,,10617.0,
2005-08-03,5012.0,,16201.0,
2005-08-10,4989.0,,9125.0,
2005-08-17,4805.0,,9469.0,
2005-08-24,5181.0,,9474.0,
2005-08-31,4909.0,,15024.0,
2005-09-07,4786.0,,9646.0,
2005-09-14,4973.0,,10800.0,
2005-09-21,6319.0,,12817.0,
2005-09-28,5366.0,,14074.0,
2005-10-05,4857.0,,11300.0,
2005-10-12,4787.0,,8504.0,
2005-10-19,4555.0,,11060.0,
2005-10-26,5149.0,,10202.0,
2005-11-02,4981.0,,12248.0,
2005-11-09,5002.0,,7813.0,
2005-11-16,4522.0,,11885.0,
2005-11-23,5107.0,,8337.0,
2005-11-30,5090.0,,10027.0,
2005-12-07,4932.0,,10698.0,
2005-12-14,5396.0,,9663.0,
2005-12-21,5402.0,,9007.0,
2005-12-28,4853.0,,9052.0,
2006-01-04,4734.0,,12589.0,
2006-01-11,4795.0,,7466.0,
2006-01-18,4810.0,,10521.0,
2006-01-25,5314.0,,9765.0,
2006-02-01,5117.0,,13196.0,
2006-02-08,5360.0,,5749.0,
2006-02-15,5224.0,,11260.0,
2006-02-22,5005.0,,7660.0,
2006-03-01,5080.0,,12791.0,
2006-03-08,5028.0,,2795.0,
2006-03-15,4479.0,,15167.0,
2006-03-22,5142.0,,7114.0,
2006-03-29,5400.0,,11285.0,
2006-04-05,5228.0,,10331.0,
2006-04-12,5126.0,,8196.0,
2006-04-19,4999.0,,12054.0,
2006-04-26,4953.0,,9965.0,
2006-05-03,5366.0,,11932.0,
2006-05-10,5151.0,,9977.0,
2006-05-17,5192.0,,11366.0,
2006-05-24,5476.0,,9997.0,
2006-05-31,4870.0,,9590.0,
2006-06-07,5233.0,,11328.0,
2006-06-14,4970.0,,9766.0,
